"Gruppe";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"210005";"22";"3";"1";"50916";"37937";"325";"90";"37522";"8719";"3276";"8104";"1657";"2357";"-";"90";"-";"-";"79";"2277";"679";"-";"8162";"-";"-";"634";"-";"857";"63";"568";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"217005";"21";"3";"1";"49574";"35686";"375";"146";"35165";"8587";"1742";"11527";"1245";"507";"348";"-";"-";"-";"-";"3241";"-";"-";"1396";"-";"-";"2735";"1523";"964";"-";"816";"19";"-";"-";"-";"-";"-";"-";"-";"-";"515"
"219012";"23";"3";"1";"71835";"53100";"652";"169";"52279";"12514";"1988";"3186";"2622";"1047";"-";"191";"-";"5121";"-";"3439";"-";"-";"15823";"463";"-";"2918";"-";"1415";"-";"1520";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32"
"230001";"26";"3";"1";"61365";"47150";"496";"173";"46481";"7260";"3391";"8442";"2090";"2059";"-";"-";"125";"-";"-";"1501";"112";"-";"12332";"-";"-";"1711";"3650";"1153";"703";"1143";"-";"809";"-";"-";"-";"-";"-";"-";"-";"-"
"240001";"25";"3";"1";"63095";"47987";"546";"193";"47248";"15514";"4358";"5997";"2208";"2054";"-";"-";"-";"-";"188";"3427";"146";"-";"10785";"-";"-";"1370";"-";"1201";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"250001";"24";"3";"1";"60715";"43684";"511";"151";"43022";"15692";"1112";"1786";"2229";"562";"-";"-";"51";"282";"-";"4655";"-";"-";"12602";"-";"-";"1920";"-";"846";"-";"573";"-";"712";"-";"-";"-";"-";"-";"-";"-";"-"
"253005";"35";"5";"2";"55632";"40318";"390";"111";"39817";"10211";"880";"2220";"1297";"1759";"-";"76";"-";"463";"94";"4387";"-";"-";"14532";"-";"-";"1102";"986";"500";"-";"604";"-";"-";"-";"-";"-";"-";"-";"-";"-";"706"
"265018";"36";"5";"2";"68056";"50447";"542";"145";"49760";"22771";"2023";"2722";"2421";"1229";"-";"79";"-";"-";"-";"4601";"-";"-";"9189";"-";"-";"3560";"-";"1165";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"306006";"38";"5";"2";"66385";"47217";"557";"216";"46444";"15376";"1831";"1077";"1881";"615";"-";"-";"363";"-";"-";"6239";"33";"-";"14288";"-";"-";"2444";"705";"794";"-";"766";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-"
"316011";"37";"5";"2";"55497";"40915";"542";"149";"40224";"11561";"3888";"1555";"1148";"2456";"-";"-";"-";"-";"-";"5412";"-";"-";"8101";"-";"-";"2212";"3155";"575";"-";"-";"-";"59";"-";"-";"-";"-";"-";"-";"60";"42"
"320002";"33";"5";"2";"46942";"33409";"482";"131";"32796";"9341";"1221";"1903";"1378";"1204";"-";"-";"-";"-";"1619";"4692";"-";"-";"7475";"-";"-";"1931";"1967";"-";"-";"-";"-";"-";"-";"65";"-";"-";"-";"-";"-";"-"
